,neg_sent,neu_sent,pos_sent,Topic0,Topic1,Topic2,Topic3,y_3,y_7,y_30,y_90
97,0.024,0.81,0.166,0.96,0.01,0.01,0.01,False,False,False,True
98,0.032,0.818,0.15,0.96,0.01,0.01,0.01,False,False,False,True
99,0.037000000000000005,0.7979999999999999,0.165,0.8,0.01,0.18,0.01,True,True,True,True
100,0.026000000000000002,0.867,0.107,0.95,0.01,0.02,0.01,True,False,True,True
101,0.013000000000000001,0.845,0.14300000000000002,0.95,0.02,0.02,0.02,False,False,True,True
102,0.016,0.816,0.168,0.94,0.02,0.02,0.02,False,False,False,False
103,0.02,0.799,0.18100000000000002,0.96,0.01,0.01,0.01,True,True,True,True
104,0.028999999999999998,0.7879999999999999,0.182,0.95,0.02,0.02,0.02,False,False,True,True
105,0.013999999999999999,0.804,0.182,0.96,0.01,0.01,0.01,True,True,True,True
106,0.02,0.836,0.14400000000000002,0.96,0.01,0.01,0.01,True,False,False,True
107,0.02,0.8220000000000001,0.158,0.95,0.02,0.02,0.02,False,False,False,False
108,0.013999999999999999,0.821,0.16399999999999998,0.95,0.02,0.02,0.02,False,False,False,False
109,0.032,0.857,0.11199999999999999,0.95,0.02,0.02,0.02,False,False,False,False
110,0.042,0.8440000000000001,0.115,0.95,0.02,0.02,0.02,False,False,False,False
111,0.006999999999999999,0.853,0.139,0.96,0.01,0.01,0.01,False,False,True,True
112,0.022000000000000002,0.84,0.138,0.96,0.01,0.01,0.01,False,False,True,True
113,0.023,0.804,0.17300000000000001,0.96,0.01,0.01,0.01,True,True,True,True
114,0.019,0.821,0.161,0.96,0.01,0.01,0.01,True,True,True,True
115,0.013000000000000001,0.843,0.14400000000000002,0.96,0.01,0.01,0.01,True,True,True,True
116,0.018000000000000002,0.84,0.142,0.18,0.02,0.78,0.02,True,True,True,True
117,0.032,0.833,0.135,0.36,0.02,0.61,0.02,True,True,True,True
118,0.011000000000000001,0.838,0.151,0.28,0.02,0.69,0.02,False,False,True,True
119,0.017,0.8190000000000001,0.165,0.17,0.02,0.8,0.02,False,False,False,False
120,0.009000000000000001,0.8690000000000001,0.122,0.88,0.08,0.02,0.02,True,False,False,False
121,0.021,0.841,0.138,0.85,0.1,0.02,0.02,False,False,False,False
122,0.016,0.81,0.174,0.87,0.09,0.02,0.02,False,False,False,False
123,0.02,0.833,0.14800000000000002,0.95,0.02,0.02,0.02,False,False,False,False
124,0.017,0.8109999999999999,0.171,0.95,0.02,0.02,0.02,False,False,False,True
125,0.019,0.856,0.125,0.95,0.02,0.02,0.02,True,True,False,False
126,0.013999999999999999,0.853,0.133,0.95,0.02,0.02,0.02,False,False,True,False
127,0.017,0.836,0.147,0.95,0.02,0.02,0.02,False,False,False,False
128,0.038,0.7959999999999999,0.166,0.95,0.02,0.02,0.02,False,True,True,False
129,0.017,0.81,0.174,0.96,0.01,0.01,0.01,True,True,True,False
130,0.027999999999999997,0.855,0.11699999999999999,0.95,0.02,0.02,0.02,True,False,False,False
131,0.018000000000000002,0.878,0.10400000000000001,0.96,0.01,0.01,0.01,False,False,False,False
132,0.036000000000000004,0.8140000000000001,0.15,0.96,0.01,0.01,0.01,False,True,True,False
133,0.02,0.884,0.096,0.02,0.02,0.94,0.02,False,False,False,False
134,0.02,0.815,0.165,0.02,0.02,0.94,0.02,False,False,False,False
135,0.031,0.81,0.16,0.02,0.02,0.95,0.02,True,True,True,True
136,0.031,0.8390000000000001,0.13,0.02,0.02,0.94,0.02,False,False,False,False
137,0.031,0.825,0.14400000000000002,0.95,0.02,0.02,0.02,True,True,False,False
138,0.022000000000000002,0.843,0.135,0.94,0.02,0.02,0.02,False,True,True,True
